problem_count,overall_confidence,stale_data_warning,vessel_type,flag,origin_port,status,confidence,eta_utc,eta_hours_to_arrival,is_delayed
3,medium,False,Tanker,PA,Busan,Approaching,medium,2026-04-17T10:48:00.252027+00:00,31.999930688333333,False
3,medium,False,Tanker,MH,Santos,Underway,medium,2026-04-16T13:48:00.252027+00:00,10.999930688333334,False
3,medium,False,Tanker,MH,Busan,Approaching,medium,2026-04-17T14:48:00.252027+00:00,35.999930688333336,True
3,medium,False,Bulk Carrier,MH,Shanghai,Underway,medium,2026-04-16T11:48:00.252027+00:00,8.999930688333334,True
3,medium,False,Container Ship,MH,Shanghai,Approaching,medium,2026-04-17T11:48:00.252027+00:00,32.999930688333336,False
3,medium,False,Bulk Carrier,US,Rotterdam,At anchor,medium,2026-04-17T14:48:00.252027+00:00,35.999930688333336,False
3,medium,False,Bulk Carrier,PA,Santos,At anchor,medium,2026-04-16T13:48:00.252027+00:00,10.999930688333334,True
3,medium,False,Bulk Carrier,MH,Rotterdam,Moored,medium,2026-04-17T10:48:00.252027+00:00,31.999930688333333,False
3,medium,False,Bulk Carrier,MH,Rotterdam,Approaching,medium,2026-04-17T14:48:00.252027+00:00,35.999930688333336,False
3,medium,False,Container Ship,LR,Rotterdam,At anchor,medium,2026-04-16T23:48:00.252027+00:00,20.999930688333333,False
3,medium,False,Bulk Carrier,MH,Busan,At anchor,medium,2026-04-17T12:48:00.252027+00:00,33.999930688333336,True
3,medium,False,Container Ship,SG,Santos,Moored,medium,2026-04-17T15:48:00.252027+00:00,36.999930688333336,False
3,medium,False,Bulk Carrier,US,Panama,Approaching,medium,2026-04-17T10:48:00.252027+00:00,31.999930688333333,True
